id;Imie;Nazwisko;Stopien
98;Korabel;Cawno;8
99;Ho³ysa;Adrasiñska;7
100;Gutstein;Filz;6
101;Gawandtka;Dworêcka;8
102;Mryga;Kwedor;9
103;£owysz-Kulesza;Szamruch;1
104;Szkolna;Sto³owa;7
105;Korsacka;Sacawski;5
106;Arendarz;Kontach;1
107;Poterajko;Szusta;4
108;Jochmann;Sza³atowicz;4
109;Elisik;Deluba;2
110;Ukrzesik;Malegowski;1
111;Flego;Olejników;3
112;Ignaszak;Kromoœka;7
113;Barbach;Nackowicz;6
114;Peredyk;Rumkiewicz;8
115;Borylkiewicz;Turkulak;4
116;Obierzalski;Koœciecki;10
117;Eisnberg;Juzefiak;5
118;Jucko;Harbaty;
119;Janust;Beinka;1
120;Morszewiecka;Kukl;1
121;Kotzknecht;Niehring;1
122;Modrek;Obuœnik;9
123;Chiriboga;Hnatewicz;1
124;Diegel;Lim;3
125;Pieklok;Mochowicz;10
126;Kownalczyk;Bisior;6
127;Worakowska;Potkowski;4
128;Cynaderka;Derinder;2
129;JaŸdzewski;Fa³dyga;2
130;Gorzecik;£awrinowicz;10
131;Chrobuta;Bartulicka;2
132;Paradzisz-Krasiñska;Hoettel;7
133;Krypo;Weprzedz;4
134;Hy¿owski;Cmura;3
135;Erkiewicz;Plauszta;1
136;Burczek;Borchel;4
137;Balis;Lidman;3
138;Odrzygoski;Schrajber;7
139;Foigth;Belwon;6
140;Fincer;Psyl;3
141;Zwereñczuk;Hinik;10
142;Kutrzaba;Maliniec;6
143;Lepitak;Grow;5
144;D¿umak;Waleñciak;10
145;Dygowski;Gelmers;3
146;Piercha;Honef;10
147;Kocisz;Pirchow;8
148;Tyczina;Tatruch;8
149;Osadzin;Dzir³owski;4
150;Ryœciñska;Diurka;7
151;Kawrow;D¿ga;10
152;Rancia;Majsterek;9
153;Ellwat;Katelon;5
154;Lewenhoff;Droessler;7
155;Szugajów;Zagnieñski;10
156;Brêczewski;Komacha;8
157;Witki;Pietryszuk;6
158;PoŸdzieñ;Rz¹dca-Wykrêtowicz;2
159;Filippczyk;Kosiarka;8
160;Latyszonek;Franieczko;6
161;Drosl;Jaceñ;4
162;Alszneider;Rysztyj;1
163;S³omiec;Niepokojow;9
164;Wosion;Harmela;6
165;Spólniak;Grembowiec;9
166;Œmiegucki;Kummelstan;6
167;Domeszko;Sfagrzyk;8
168;Fermejster;Ciê¿niachowska;9
169;G³êbin;Wiels;4
170;Maciosz;Mencfal;5
171;£oczewski;Erdei;10
172;Szeszmincow;Wro¿ek;6
173;Broje;Kirzenkowski;2
174;Szkunta;Czukiewski;6
175;Zanto;Grzempica;7
176;Przybyciej;Mrukwa;8
177;Marysik;Otrzasek;4
178;Gnatzy;£azerewicz;1
179;Krzykaczewski;B³azykowska;4
180;Dragoñczuk;Tagas;7
181;Kazimieraczak;Krzciñski;1
182;Szewerdykowicz-Kowalewski;Sakól;3
183;Oppelt;Certow;1
184;Buczajte;Migula;6
185;Hadelka;Cierbiej;6
186;Lasiowski;Wasylkiewicz;10
187;Aranderczyk;Podkasany;7
188;Kurzeniecka;S³obodianik;5
189;Liberka;Woznik;6
190;Urumow;Ml¹cki;9
191;Piendak;Grybok;4
192;Smotunowicz;Markopulos;2
193;Brzychc;Feutliñska;6
194;Brennensthul;Nawalnicka;2
195;Nadrajkowski;Prifer;5
196;Bialoskowski;Brueggmann;4
197;Losisz;Zuk;8
198;Gazler;Byzymska;4
199;Kulecha;Chyj¿y;9
200;Borkowitz;Wardy³o;5
201;Krzy¿ania;Hatke;9
202;Wtorek;Bywiñska;2
203;Nanka³a;Jondryczko;3
204;Podórski;Alenbacher;6
205;Sliboda;DrzeŸd¿on;4
206;Hrusiñska;Zubka;5
207;Lubas;Kobylke;5
208;Kusianowicz;Nowarowski;9
209;Têga;Prawdzic-£aszcz;1
210;Chêczmanowski;Kisella;10
211;Hryhorowicz;Damiszewska;9
212;Zwolicki;Rosol;4
213;Grzebieniak;Olopiak;5
214;Ha³ylak;Miedziela;2
215;£ygoñ;Pasiarski;1
216;Sanda³owicz;Tybun;6
217;Czerembak;Lückmann;9
218;Uchacz;Maciejak;8
219;Kapa³ów;Ollczak;5
220;¯ernowski;G³odek;2
221;Babisa;Mareszczowska;7
222;Nocel;Rebia³kowski;6
223;Szóstko;Ciupin;2
224;D¿urok;Sinderewicz;3
225;Namiga;Opaszek;1
226;Piszcza³owski;Frejna;10
227;Skrêtkowski;Hnedi;7
228;Nierotkiewicz;Taub;7
229;Czebanyk;Zwycewicz;2
230;Stusio;Ludowid;8
231;Vorbrich;Toboszewska;1
232;Baliko;Towciuk;2
233;Sznit;Korletianu;10
234;Magoloñ;Urymkowski;7
235;Tar³a;Tecica;8
236;Samoszczuk;Wojtysz;1
237;Ludyñ;Wilczykañska;10
238;Kurtyn;Bardyñ;8
239;Rabusiewicz;Genne;9
240;Dallheimer;Lintschuk;8
241;K¹pielewski;Oleksów;3
242;Mazanik;Lenczakowski;7
243;Zdzitowiecki;Wychnowski;5
244;Fantz;Frydulski;9
245;Krówik;Bezert;3
246;Dzedziak;Zaprzeczny;3
247;Zeling;Late³a;1
248;Bonze;Damerowski;6
249;Paniów;Feher;6
250;Stronczyk;Kondrucki;10
251;Erykowska;Chora¿yk;10
252;£achota;Sufot;9
253;Grabczykowska;Skidañczuk;2
254;Hejnert;Ciobor;5
255;Stasek;Nersewicz;5
256;Martychewicz;Hawryñski;1
257;Wótke;PaŸdziurek;7
258;Daniludis;Szept;7
259;Kuzylak;Reiff;1
260;Podobry;Amsztet;3
261;Sztajnkowski;Kocak;5
262;K³adysz;Raszejewski;1
263;Safronow;Tauliczek;6
264;Wogucki;Kazieczko;9
265;Ausdajczer;Onopczuk;9
266;Dziana;Dowhopoluk;6
267;Kirszk;Niedos³up;8
268;Rogo¿kin;Remlain;7
269;Jelczak;Kreñ;9
270;Gagatnicki;Cilenko;4
271;Jurenc;Brodanowicz;10
272;Rigney;Chr¹szcz;6
273;Slêcio;Rogaczewicz;5
274;Witoszka;Dorobis;1
275;Walerias;Nalejewska;7
276;Trumina;Haracz;5
277;Kmieck;Szmura;1
278;Dary³ów;Gniczo³;10
279;Oszyñski;Bojmart;10
280;Haor;Szyliñczuk;3
281;Hrusiewicz;Staboñska;4
282;Scimborski;Ba¿ega;9
283;Gulis;Kawresz;1
284;Skiendziul;Gluszczenko;1
285;Kancarz;Rotan;4
286;Dubelski;Wêgro¿;4
287;Kospyrda;Chreptowicz;7
288;Staszecki;Misterna;4
289;Irachimowicz;Szmeil;9
290;Hordyk;Niekasz;1
291;Faga;Czak³osz;3
292;Jassowicz;Bagajewicz;9
293;Szretke;Podjaski;2
294;Szlechuber;Slaba;1
295;Bochniasz;Jurcz;3
296;Karauda;Paremski;7
297;Knielska;Polonicka;7
298;Strusik;Blumczyñski;1
299;Dudoiæ;Zapakowski;4
300;Franiesz;Golz;7
301;Purzyczek;Teubner;9
302;Nanek;Kandurowa;5
303;Frajdental;Pacias;10
304;£ysienia;Zieliski;3
305;Widuta;Tytarczuk;4
306;Gromke;Jurytowska;3
307;Enkelman;Zarylska;6
308;Siamro;Bonczkowski;3
309;Fledyn;Kóska;7
310;Karniejarz;Jujka;6
311;Mainwald;Pos³añ;1
312;Ba³on;Berneker;10
313;Sztalkopf;Rajsman;7
314;Rodehall;Skaczek;5
315;Esfeld;Strajch;3
316;Uszat;Brodemer;7
317;Wolczyk;Linertowicz;2
318;Wydrychiewicz;Tempka;8
319;Skiertnik;Jenike;3
320;Finger;Nijelska;6
321;Krysucki;Szmiczek;5
322;¯³opa;Gonczara;8
323;Barojanowska;Czenak;7
324;Dryzulenko;Leuda;1
325;Babariko;Piarda;1
326;Byszowska;Waszenda;6
327;Kotarzewski;Ksenczyn;8
328;Pami¹czek;Rayes;10
329;Hagenmejster;Bagajska;8
330;¯ankowski;Gryguta;9
331;Œremski;Kubrek;9
332;Czekara;Grybierczyk;7
333;Knafla;Kryzment;7
334;Heling;Trychowicz;8
335;Przedmolski;Saczkowski;1
336;Wêtor;Sarewicz;5
337;Taramas;£y³ka;6
338;Aszmoneit;Pieruta;7
339;Laper;Mieszawski;3
340;Obórska;Jadzimek;6
341;Neilitz;Dryps;5
342;Zakrewski;Zieleniewski;3
343;Ladner;Schoenbach;3
344;Naworniak;Kiempa;5
345;Sajuk;Freuchel;10
346;Bozduczañska;Kajok;1
347;Zelink;Irwin;2
348;S³anian;Gozdziuk;2
349;Piraszkiewicz;Plewnicki;4
350;Stota;Timofiej;2
351;Kleniec;Kiecek;1
352;Dzies³awek;Moz³owski;1
353;Bobakowski;Horun;1
354;Wietrek;Dêborowski;6
355;Bia³onsow;Nytz;6
356;Czaryna;Symaniuksztis;5
357;Ch¹kowska;Barchowska;4
358;Hagenmajster;Himowska;
359;Mej³un;Mitranka;10
360;Dyonizy;Œluzewski;3
361;Folek;Plês;3
362;Cyberski;Karêdyœ;2
363;Bidoret;Abzdykiewicz;10
364;Brociuk;Lubisz;10
365;Moskalow;Bielich;6
366;£ogwinowicz;Pliskaczuk;9
367;Stiepañczuk;Hanusek;1
368;Gembaszewski;Podstawec;5
369;Wiegrowski;Lawronowicz;10
370;K¹tka;Sabiesiak;4
371;Korpis;Czerte¿yñski;9
372;Ubiorski;Kwali³o;1
373;Jakuszew;Allamoda;9
374;Szteke;Pasiroski;3
375;St¹pala;Szuchan;7
376;Karatnicki;Przebodobna;6
377;Prad³o;Czikiel;6
378;Stryczna;Pielatowski;3
379;Uczyk;Gajecki;1
380;Stadtmüeller;Tajl;5
381;Dzialak;Beznosy;3
382;Abcewicz;Lagna;10
383;Ba¿arnik;Be³ech;6
384;Suszniak;Skoœna;6
385;Niedzielnicki;Gutmacher;3
386;Jaœnik;Pretkowski;1
387;Jewtuszyk;Balkier;1
388;Matlêgiewicz;Materowski;7
389;Kedzierzawska;Ciechonowicz;4
390;Cibieñ;Leneciak;4
391;Sierzpowski;Ba³kier;8
392;Us³owski;Chemielec;6
393;Patrymusz;Œlandzicka;6
394;Grigorian;Hawratowska;1
395;Familska;Kotwita;6
396;Tortuniak;Paru¿yñski;10
397;Susanowicz;Trippner;7
398;Szmyrko;Mozwi³³o;2
399;Trómiñski;Bu³da;4
400;Galster;Gniecio³ek;4
401;Bowtecka;Czarnoziem;10
402;Czempas;Tujejska;8
403;Wojchan;Gozda;1
404;Koczkodaj;Groschek;3
405;Przeobra¿eñski;Golec vel Gielec;6
406;Oœmielak;Pachirko;2
407;Cieciek;Ge³emej;3
408;Gurbanowicz;Szarage;7
409;Nikonczyk;Gierlicki;2
410;Karafiñski;Ce³niaszek;3
411;Minder;Paw³ow;6
412;Pielsiek;Nasilenko;10
413;Mi¿e³owski;Barwnikowski;3
414;Trybunek;Bromblik;1
415;Komant;Kmiecic;1
416;£yciuk;Pitiak;9
417;Kubia;Miedlarz;10
418;Kuropczak;Boesa;3
419;Pa³u¿yñski;Hronik;2
420;Fediuszyn;Czerwin;1
421;Czaszkiewicz;Winczuk;7
422;Drzewiecki;Wolsan;3
423;Gnapp;Kosternow;6
424;Micza³ek;¯urobski;7
425;Winciñski;Herzfeld;8
426;Sadecki;Thiering;1
427;Frowert;Nawratek;5
428;Zo³ucha;Grostal;9
429;Kondo³;Radomian;9
430;Piêtkiewicz;Sznor;1
431;Kotbon;Chodanowicz;8
432;Lichwerowicz;Harêzok;8
433;Winider;Pawiczak;4
434;Frandryga;Tomas;4
435;Kurzêdzka;Ch¹œka;8
436;Wygrzywalski;Berus;8
437;Wejzerowski;Ubaniewicz;7
438;Abrams;¯ele¿nicki;10
439;Du³;Tryskiewicz;3
440;Hordziejew;Nizia;7
441;Kuryœko;Rondalski;4
442;Arsz;Bryczkowski;7
443;Kempiners;Wojewodzik;4
444;Surdawski;Guns;1
445;Schlieske;GoŸliñski;4
446;Grochalak;Ro¿ewski;7
447;Szpilka;Sebesiuk;4
448;Skale¿ewicz;Rayss;1
449;Wrêbiak;Tavernier;8
450;Kapanejko;Kurliñski;2
451;Bidyñski;Ciwcic;1
452;Smoluch;K¹pczyñski;3
453;Biedulski;Mat³osz;1
454;Bukojemski;Wrzykowicz;3
455;Spijo³ek;Gabraszek;5
456;Soœnin;Szymeon;8
457;Szmañski;Duchoñ;3
458;Wohadlo;Bunecka;10
459;Dalmer;Olecki;3
460;Sapig;Szaduñska;1
461;£abowicz-Dymanus;Wermiejewicz;9
462;Nowak-Cha³as;Mireñko;7
463;Liberzon;Warlecha;1
464;Bertkus;Roczymski;1
465;Trenszok;Erlbaum;10
466;Vorbrodt;Herba³a;5
467;Rogwa³o;Hene;7
468;Mieroñski;Worms;7
469;Misel;Matyñkowski;3
470;Sniaszek;Swidruk;8
471;Hernel;Wantoch;3
472;Ringer;Hroneœ;6
473;Wenganowski;Gradyjas;6
474;Azarów;Bu³kata;1
475;P³aœnik;Szaty³owicz;9
476;Koliœ;Trefuñ;4
477;Malewicz;Kuziñski;4
478;Stawro;Konigowski;4
479;Droszewski;Cirkot;9
480;Gardoniak;Burczon;4
481;Mi³ejko;Szreiter;3
482;Przedêcki;Kuczurak;10
483;Poszwañczyk;Pyzelska;6
484;Wilenowski;Kuliberga;6
485;Ogórczecka;Bogalewska;10
486;CzyŸniejewski;Skótarska;1
487;Miszliñska;Starczok;1
488;Kmitkowska;Kobaczka;3
489;Wawol;Menelski;3
490;Litwak;Mizgier-Chojnacki;5
491;Arkatow;Sloty;5
492;Napora-Rutkowski;Farnów;6
493;Kosisz;Kawczyñski;9
494;Cehelik;Kimner;8
495;Chaœliñska;Bade³ek;6
496;Nawszkiewicz;Lubrant;5
497;Tobolczewski;Achtelk;6
498;Ochmacka;Sorbiana;10
499;£abczewski;Kszczo³ek;1
500;Jêdraszkowiak;Zwalczuk;8
501;Gemborczyk;Chodewa;2
502;Hiltawski;Derewianko;2
503;Koneniewska;Lazam;6
504;Mi¹zek;Byczyszyn;8
505;Wostek;Mirkulin;4
506;Rakwa³;Bielniak;1
507;Szwajczewski;Oltoñ;9
508;Bodemer;Kulecha;5
509;Podolniak;Kaspszyszyn;7
510;¯ytniowski;Mokanowski;8
511;Dreczkowski;Mamontow;9
512;Majarowski;Cymerman;5
513;Gryœnik;Juczyñski;6
514;Bukœæ;Jarnuszek;4
515;Wiatroszok;Bimiñska;4
516;Kostaruk;Zajgner;4
517;Chowra;Klawter;6
518;Cerbe;Hamañczuk;4
519;Bochdarz;Borcikowski;10
520;Skirmunt;Krószewski;8
521;Fisos;Dragim;3
522;Ciszkowski;Haim;1
523;Knatlewska;Dornhardt;6
524;Gowakowska;Ruba;8
525;Rafa³ek;Kirczyñski;3
526;Mieszczok;Kasiecznik;2
527;Wersowska;Eischler;3
528;Alweis;Szymczuch;9
529;Kryczko;Ga³gañski;7
530;Ilikowska;Kni¿atka;2
531;Rudzikiewicz;Kruczalok;9
532;Konciak;Bakalara;1
533;Sztolpert;Farañczuk;1
534;Dobruszewski;Jesiowczek;2
535;Bo¿ejewicz;Kajprzykowska;10
536;Skorynów;Szylierz;5
537;Szczelewski;Czutek;3
538;Erene;Berenrajter;4
539;Dziuborczyk;Maslak;4
540;Warachowicz;Chojnic;5
541;Bornkiewicz;Pacholecki;7
542;Krucyba³a;Woropaj;4
543;Jadacz;Pichciñski;10
544;Dmytrysz;Majkutowicz;9
545;£apucewicz;Piczykolan;1
546;Zdêbik;Soroczko;1
547;Kutulewicz;Martinik;1
548;Erenn;Giersk;10
549;Gietczak;Fajhauer;8
550;Boczon;Pucharski;8
551;Stepin;Naluœ;9
552;DroŸd¿al;Nakryniak;1
553;Chwarczyñska;Kaczmanowski;4
554;Pientek;Denizot;1
555;Sawis;Grulec;7
556;Ustjaniuk;Weibhaupt;7
557;Podk³adek;Kodylewski;1
558;Hruzdowicz;Tanderszczak;7
559;Plutecki;Wanrzyszak;7
560;R¹czka;Koziemko;6
561;Miergies;Ulinowski;4
562;Muszowicz;Tetelewski;1
563;Kuchrczyk;Niedara;10
564;Ceranka;Jusko;1
565;Piserska;Kondraszow;10
566;Uchmañ;Iwanowicz;1
567;Natunewicz;B³och;1
568;Ch¹siniewicz;Kordaszewski;4
569;Sajur;Oruba;1
570;Soudi;Tychek;10
571;£yzik;Wisialski;10
572;Dydycz;Zap³atnik;10
573;Œmigoñ;W¹woŸniak;5
574;Pietrószka;Lanke;4
575;Biedarzewska;Dudiñska;7
576;Zachwa³;Wessler;5
577;Rumienkiewicz;Rêcewicz;9
578;Leszczyc-Laskowski;Ulwan-Olfans;9
579;Rejtniak;;1
580;Hartyniuk;Strzemio³owska;6
581;Fruczkie;Krzyœcien;3
582;Strógarek;Literowicz;8
583;Hirowicz;Podomaæko;5
584;Szperkowicz;Dawidurewicz;1
585;Gêderko;Olifierowicz;1
586;Speczyk;Okrzyñski;3
587;Piecharek;Ba³wako;2
588;Pencina;Grod;4
589;Bazylczuk vel Naturalny;Lobman;7
590;Czepek;¯aleta;4
591;Œniadek;Narwa;1
592;Karafiñski;Dwajak;10
593;Barteld;Turkiewicz;1
594;SkruñdŸ;Pogulajewski;5
595;Arjent;Bylniak;7
596;Swarczek;Skliniarz;9
597;Mariotko;Kieœler;3
598;Lekenta;Tr¹czak;2
599;Wajheimer;Jabrocki;1
600;Zewer;¯mójdzik;5
601;Chadkowska;Zabajewski;1
602;Go³ot;Sergatz;6
603;Rogoziñski;Ochniak;4
604;Sondowski;Moraczyñski;1
605;Wanczyk;Kumaszko;10
606;Felzen;Prandl;9
607;Ciaszka;Miaciaszek;9
608;Twarski;Kordyl;3
609;Eilrich;Sejdowski;5
610;Sosim;Podgrudziñska;6
611;Wêga¿;S³óka;2
612;KwaŸnik;Sudel;5
613;Freider;Poszman;5
614;Brzosztek;Sa³aguba;
615;Onilian;Dmus;1
616;Kucha;Pasdzierna;1
617;Brzes³awski;Myszakow;8
618;Moysak;Schreiter;3
619;Ko¿ejek;Burde;1
620;Rosputniak;Miszczañczuk;9
621;Bzuk;Majnicki;8
622;Mysek;Jórczyñski;8
623;Gamczar;Wykpisz;1
624;Anastasow;Brzóstek;1
625;Pompala;Laczuk;1
626;Krystak;Nenczak;2
627;Hachu³ka;Mackowiak;3
628;Rorznikiewicz;Weldon;9
629;Schilf;Zygutko;6
630;Baszuro;Dêbowczyk;6
631;Chermaj;Kopcikowski;9
632;Krutkopad;Grabianka;8
633;Grzaniak;Mi³o;2
634;Grajczuk;Grinban;3
635;Grünberg;Gucajna;1
636;Lemierowski;Ch³opys;1
637;£apuszczyñska;Chajder;6
638;Wystyg³o;Zêbek;8
639;Korobowski;Dymitriadis;5
640;Soæka;Mychalak;9
641;Luta;Kuboty;10
642;Magrysz;Jurgielewska;3
643;Brejtenbach;Raisz;4
644;Tapól;Kornaczewicz;10
645;Buchtarewicz;Fiszka;9
646;Dianni;Wojtal;1
647;Chorolewski;Grecman;7
648;Nuerenberg;Szydel;6
649;Horbowa;Arlik;7
650;Szmela;Zêbiñska;10
651;Olszowiec;Char³aszów;3
652;Fede;Kroszke;1
653;Bojarinców;Goleszewska;6
654;Czosik;Drahant;9
655;Kucnerowicz;Kaszton;6
656;Maczioszek;DyŸl¹;3
657;Stêgosz;Wiatrolik;8
658;Wielocki;G³adyrz;2
659;Kaunecki;Tarchan;7
660;F¹dziel;Andyszkiewicz;9
661;Stulczewski;Dziegiñski;7
662;Marunkiewicz;Sams;5
663;Siamatra;B³a¿a³ek;8
664;Rogacki;Militz;4
665;Terzyk;Pêka³;9
666;Stemler;Gidzgier;2
667;Trzenka;Dider;7
668;Marzajko;Pradellok;2
669;Golen;Nescioruk;9
670;Zo³nieruk;Ens;9
671;Mucenek;Maciewski;6
672;Kamsela;Hegner;3
673;Pog³ówek;Ussowicz;9
674;Molendowski;Wakó³owski;8
675;Siersieñ;Hu³ubowicz;10
676;Gryszpiñski;Ancyperowicz;9
677;Bieniasiewicz;Rogatty;1
678;Sznal;Wojman;2
679;Dziemczyk;Bynio;6
680;Ranko;Nep;10
681;Wirski;Niedurna;3
682;Simionidu;Wa³eza;1
683;Mêkel;Skorbich;7
684;Kur³ej;Suliwodzka;1
685;Neumienko;Stancelowska;1
686;Babosow;Mulawkiewicz;5
687;Bieñkowski;Suchorobska;4
688;Rynibarczyk;Wolek;1
689;Bansemer;Szymosiuk;2
690;Porêbiak;Skodny;7
691;Terebuñ;Darmobit;8
692;Guszta;Kocio³ko;3
693;Mohord;Sananowicz;9
694;Dronow;Kwiejcarz;4
695;Koffmann;Antoñ;1
696;Dr¿a¿dzyñski;Skobyranda;10
697;Dro¿en;Piestroszewicz;8
698;Budron;£ebuch;4
699;Urfaloff;Bokouka;1
700;Diksa;Furas;6
701;Runiec;Wengierkiewicz;9
702;Dor¹czyñska;Kleppin;7
703;Tomaszkiewicz;Diamante;4
704;Sobutkowski;Nyca;8
705;Marlina;Giewiel;4
706;Nessing;Ba³tuszewicz;3
707;Harasijski;Haœci³o;1
708;Ko³aœ;¯ywirski;5
709;Kusznierewska;Kamenz;2
710;Malwic;Fisskie;1
711;Dembetzki;Luzia;2
712;Dworzniecki;Ramzan;1
713;Biekiesz;Emirsaj³ow;1
714;Flumenbaum;Kiryczenko;5
715;Kude³ka;Zdyl;1
716;Pulnicki;Fajersztein;6
717;Chwiediuk;Schefftz;1
718;Paziuk;Kaziemko;4
719;Senko;Ho³ubek;6
720;Badómierska;Dyr¿yñska;6
721;Marody;Mina³to;1
722;Brañczak;Przydatko;5
723;Ziedroñ;Mandrzik;3
724;Lustak;Miszejczuk;1
725;Hrycak;Sza³wicki;3
726;£utnik;Nolan;2
727;Pochilów;Prosinowski;5
728;Capaluk;Zil;10
729;Kaza³o;Szarafiñski;7
730;Koœliñski;Bie³ogrudowa;1
731;Stamiciñski;Morysewicz;10
732;Knyszka;Prymke;4
733;Budziorz;Remiœ;5
734;Mol¹g;Gradañska;6
735;Plegier;Ograbek;3
736;Jendruczak;Szulimski;7
737;Ni¿ankiewicz;Rozek;1
738;Dêtka;Krytyj;10
739;Krzysztoferska;Zwikirsch;5
740;Tyrkowski;Jezcak;8
741;Lokajewska;Zydorczuk;6
742;Ozubowski;Nabuda;6
743;Wiktowski;Budziechowska;3
744;Gajas;Homecki;1
745;Birke;Kostal;3
746;Pazerski;Borysko;3
747;Maryszczak;Mordalski;1
748;Sott;Bia³oskórski;6
749;Chropowicz;Rzottky;1
750;Raulin;Trzepaczka;3
751;Bieruków;Freybote;2
752;Paru¿ak;Wawrzenek;5
753;Dunajczuk;Hawlena;6
754;Habich;Blochowiak;2
755;Klenske;Sparzyñski;1
756;Kulwiak;Bardysz;3
757;Wernowska;Subtelna;10
758;Popielewski;Moler;1
759;Juzok;Skrowaczewski;4
760;Lagoritu;Retkowiak;3
761;£agunionek;Neumayer;2
762;Studzieñczyk;Nenczak;5
763;Fidoli;Szczebowilk;10
764;¯rebiec;Pakutko;6
765;Wo³oszanowicz;Cieœcik;5
766;Farcinkiewicz;Dziurdza;9
767;Ko³tuniak;Szandarowicz;7
768;Damuæ;Muszal;5
769;Sevruk;Wojtoszek;10
770;Cysowski;Tomaniewski;1
771;Putin;Drañko;4
772;Jaborowski;Hernandez;8
773;Bocarska;Poraj-KoŸmiñski;7
774;Charciorek;Klaubert;6
775;Marsy;¯ygajda;2
776;Zimnock;Dolczyñski;1
777;Cur;£ago¿ny;6
778;Wieczorzak;Æwirlik;6
779;Ciszer;G³os;2
780;Folkomen;;7
781;Skwiszcz;Matyjaszczak;4
782;W¹cha³a;K³êbukowski;4
783;Dehmal;Lendarska;8
784;Mrazen;Sienczyk;1
785;Morda³;Gawer;2
786;Feygelbaum;Smodrzak;8
787;Suprynowski;Kent;5
788;Chepner;Mrozna;7
789;Mogialski;Gêbuna;5
790;Cype³;Bozda;6
791;Janika;Pantof;8
792;Czarkina;Cha³wa;1
793;Tubis;Gralyk;1
794;Moradas;JuŸwiak;1
795;P³u¿yczka;Syrytczyk;4
796;Chroœciel;Kosztorowicz;2
797;Tumicki;Romatowski;2
798;Kardczyk;Zarzewski;5
799;Chrzonstek;Dziurdzikowski;2
800;Wojde;Tupta;2
801;Giepard;Kejnich;8
802;Niszczoruk;Lelacz;10
803;Arkabuz;Striñski;3
804;Cygner;Wêdolna;3
805;Matiaszów;Prarat;3
806;Katkus;Krumpolc;1
807;Erynkfajd;Mysiarczyk;3
808;Osobiñski;Derdau;5
809;Rojter;Zeibel;2
810;Krawczyk-Demczuk;Antochów;5
811;Hanzla;Isajacz;9
812;Slowatycki;Prafman;8
